Protein IDs	%iBAQ	Unique peptides	Unique + razor sequence coverage [%]
Q9BTE6-3;Q9BTE6-2;C9J5N1;Q9BTE6;K7N7A3;K7EQ85;L7N2F4;H7C054;K7N799	0.01106784	11	20.8
P51571;A6NLM8;H7C1C6	0.01106784	3	17.9
Q12797;F5H667;E5RHK2;E5RG56;Q12797-2;Q12797-8;Q12797-5;Q12797-6;Q12797-9;Q12797-3;Q12797-4;Q12797-7;E5RG29;G3XAN5;E5RHJ2	0.01100254	21	26.5
Q9NYL9;H0YNJ8;H0YKU1;P28289;Q9NZR1;G5EA42;Q5T7W3	0.01100254	12	41.8
Q04917;A2IDB2;A2IDB1;F8WEB6	0.01098622	5	21.1
Q9Y6K5;F8VS35;F8VWK9;H0YHL3;F8VW22	0.01092092	24	20.3
P40937;P40937-2;F8W9B4;F5H5S0;C9JH72;F5H0U6;E9PEP3;F5H304	0.0109046	12	42.6
P10768;H7BZT7	0.01088827	6	25.9
P26639-2;P26639;G3XAN9;E7ERI3;D6RDJ6;D6R9F8;D6RCA5;A2RTX5;B7ZLP8;A2RTX5-2;D6RBR8;D6RCS6;D6RHV7;D6RJ97	0.01085563	28	37.8
Q00403;B1APE2;B1APE1	0.01085563	10	27.8
Q9BPX5	0.01085563	3	28.8
Q9P0L0-2;Q9P0L0;J3QKM9	0.01085563	8	27.2
Q5TA95;O95801	0.0108393	5	12.8
P09543;P09543-2;B4DFN6;K7ERC4;K7ERZ0;C9K0L8;K7EN66	0.01079033	12	31.4
Q9Y6A4	0.01079033	4	20.2
E5RJD8;O75347;E5RIW3;B4DT30;E5RIX8	0.010774	6	37.8
Q13509;A8K854;G3V2A3;G3V2N6;G3V3R4;G3V2R8;G3V5W4;G3V542	0.01069238	5	17.1
Q15393;Q15393-3;Q15393-2;I3L4G7;J3QL37;J3QRB2;H3BMB0;J3QKV4	0.01061076	44	39.5
P40938;P40938-2	0.01057811	10	28.7
P61026;P59190;P59190-2	0.01057811	7	31.5
Q86XP3;Q86XP3-2;J3KTK9;J3QRI2;J3KRE3	0.01054547	26	32.6
O15145;C9JZD1;F8VR50	0.01039855	3	19.7
P15924;P15924-2	0.01034957	103	36.6
Q04760;Q04760-2	0.01026795	4	17.9
P50552;K7EM16;K7ENL7;K7ENR7;K7EIG8;K7EQD0	0.01025163	10	27.6
A6NFN2;Q8IZP0;Q8IZP0-12;F8WA56;Q8IZP0-9;Q8IZP0-6;Q8IZP0-5;Q8IZP0-3;Q8IZP0-4;Q8IZP0-2;F8WA55;Q8IZP0-7;F5H1G9;Q8IZP0-8;Q8IZP0-10;Q8IZP0-11;F8WAL6;H0Y6B5	0.01021898	3	11.2
P25786-2;P25786;F5GX11;B4DEV8;F5H112	0.01021898	9	35.3
P40429;M0QYS1;Q6NVV1;M0QZU1	0.01020266	6	25.6
Q9UKM9;Q9UKM9-2;Q5QPL9;Q5QPM1;Q5QPM0;Q5QPM2	0.01018633	9	23.2
O43813;E9PHS0;F8WDS9	0.01017001	5	13
P52294;C9JYI4;C9J4U1;F2Z3G4;C9JWD9;C9J352;H0Y3K0	0.01017001	4	26.6
Q96S99;K7ELB8;K7EIX0	0.01012103	1	3.6
P35052;H7C410;H7C024;H7BZE9;C9J4Y6;H7BZL4	0.01005574	12	28
Q9Y5X3;Q5QPE5;Q5QPE4	0.01002309	11	26.7
Q09666;Q09666-2;E9PLK4;E9PJC6;E9PKR9;E9PJZ0;E9PLZ1;E9PQE3	0.01000676	175	54.1
Q8WU90;B4DMW2;F8WB26;F8WF67	0.01000676	12	33.1
P45985-2;P45985;J3QQP9;J3KTI6	0.00999044	8	26.3
P52895;B4DK69;H0Y804;H7C4R4;P52895-2	0.009941468	2	26.6
B4DUT8;Q99439;B4DDF4;Q99439-2;K7ES69;H3BVI6;H3BQH0;H3BTZ5;H3BQR6	0.009908819	4	15.8
Q12974;Q93096;Q12974-3;Q5TCM7;Q12974-2;E9PRR9;E9PJC0;E9PML8;E9PMY3	0.009892495	4	22.8
P09758	0.009876171	5	19.5
F8VVA7;F8VWL5;P61923;F8VYZ4;F8VS17;F8VXR1;F8W651;F8W156;F8VUC5;F8VXB1;B4DDX8;B4DHZ0;F8VYK5	0.009843522	4	24.2
O00422;H7BZW6	0.009843522	8	35.9
Q9Y6B6;D6RD69;D6RDB2;Q9H029;D6RAA2;D6R9R5	0.009745577	2	11.6
Q9Y371-2;Q9Y371;Q9Y371-3	0.009696604	5	13.5
Q5TZA2;B1AKD8;Q5TZA2-2	0.00968028	1	0.4
D6REX3;O94979-8;O94979;O94979-2;O94979-9;O94979-4;B7ZL00;O94979-3;O94979-6;D6RHZ5;H7BXG7;O94979-7;O94979-5;H0YAB3;H0Y8V7;H0Y9K1;H0Y9T9;H0Y8W8;H0YAF5;D6RCQ9;D6RE64;H0Y9V3;D6RHE8;D6RBT0	0.00968028	23	19.3
Q9UIC8-2;Q9UIC8;Q9UIC8-3;I3L4A2;I3L2Q8;H3BUP7;I3L2E3;I3L537	0.009663955	8	22.7
O00429-6;J3KPI2;O00429;O00429-2;G8JLD5;O00429-3;O00429-5;O00429-4;B4DGC9;F8VZ52;B4DDQ3;F8W1W3;F8VUJ9;B4DPZ9;F8VYL3;F8VR28;H0YHY4	0.009647631	25	38.1
P25789;H0YL69;H0YMZ1;H0YN18;H0YMA1;H0YMI6;P25789-2;H0YKT8;H0YLC2;H0YLS6;H0YKS0;H0YMV3	0.009647631	5	20.7
J3QQX2;P52565;J3KTF8;J3KRY1;A8MXW0;J3KRE2;J3KS60	0.009647631	4	16.6
Q9UBB9;Q9UBB9-2;H0Y4U8;F6XM96;F6SQZ1;F6UKU9;F6UQ07	0.00956601	29	36.2
P09234;Q5TAL2	0.009549686	2	13.2
Q6P597-3;Q6P597;Q6P597-2;K7EL76;K7ENJ3;K7ELP9	0.009549686	12	34.2
P53367	0.009533361	1	34.6
Q8IXH7;Q8IXH7-4	0.009500713	10	17.3
Q13098-7;Q13098;Q13098-5;C9JFE4;Q13098-6;J3KRJ4;J3KSA5;J3KRE8;J3QL53;J3QLT0;J3QLE8;J3KTB0;J3QS88;J3QS84;J3QQX0	0.009435416	11	26.2
Q14554;Q9BV43;C9JY10	0.009435416	12	23.3
Q9UDY2-7;Q9UDY2;Q9UDY2-3;Q9UDY2-6;Q9UDY2-2;Q9UDY2-4;Q9UDY2-5;B1AN86;B1AN85	0.009435416	34	29.6
P09496;P09496-3;P09496-4;P09496-2;F8WF69;C9J8P9;F5H6N3;C9JND5	0.009402767	5	19.4
P24468;P24468-2;P24468-3;P10589;H3BTC2	0.009353795	8	23.4
Q9BWF3;Q9BQ04;E9PB51;Q9BWF3-4;Q9BWF3-2;J3QRR5;D6R9K7;E9PM61;E9PLB0;Q9BWF3-3	0.00933747	7	20.3
Q13595;B4DUA9;B4DQI6;Q13595-2	0.009321146	4	14.9
P13489;H0YCR7;E9PIM9;E9PLZ3;E9PMJ3;E9PIK5;E9PMN0;E9PMA9	0.009321146	7	17.6
Q14331;Q9BZ01;E9PRR7;F5H5R5;E9PLY7;H0YEZ2	0.009321146	6	23.6
O75494;O75494-2;O75494-3;O75494-6;O75494-4;Q5JRI1;O75494-5;Q8WXF0	0.009239525	5	17.6
Q8WW22-2;Q8WW22;Q8WW22-3;F5H170;C9JDE6;F8WF76;F5H300;F5GWV1	0.009239525	4	10.3
Q9Y5B6;Q9Y5B6-2;Q9Y5B6-4;Q9Y5B6-3	0.009223201	24	32.3
Q9H9B4;D6RFI0;D6RDG7;D6RAE9	0.009190552	8	27.6
Q9BRJ6;C9JQV0;H7C2R9;H7C0T1	0.009157904	3	24.2
P62312	0.009141579	3	35
P51452;Q8IYJ9;K7ES89;K7ELG5	0.009125255	5	33
Q16763;K7EPJ1;K7EM75	0.009108931	5	25.7
Q9UNQ2;D6RCL3	0.009108931	12	44.1
Q9NUQ3;Q9NUQ3-2	0.009059958	14	28
Q9P2E9;Q9P2E9-2;Q9P2E9-3;F8W7S5;Q8N4C6-7;Q8N4C6-10;Q8N4C6-5;Q8N4C6;Q8N4C6-2;Q8N4C6-9;C9J066;Q8N4C6-4;E9PN67;H0YEL6;H9KV85;H0YDJ4;Q8N4C6-11;F8W6D3;Q8N4C6-6;REV__Q9P2M7	0.009043634	37	26.4
Q9Y678;H0Y8X7;D6RG17	0.009043634	21	30.7
Q9NQT5;Q9NQT5-2	0.00902731	6	28.7
Q53GQ0;E9PI21;Q96EA9	0.008978337	7	25
Q9BRX2	0.008962013	10	23.4
O95782;O95782-2	0.008945688	24	34.1
O60749;B4DEK4;D6RC15	0.00891304	9	20.2
Q15637-5;Q15637;Q15637-2;Q15637-3;Q15637-6;Q15637-4;Q15637-7;B4DX42;H7C561;F8WEV5;C9J792	0.00891304	8	15.3
P52209;B4DQJ8;F5H7U0;K7EPF6;K7EM49;K7EMN2;K7ELN9	0.008896716	14	33.7
Q9Y314;M0R3B2;M0R1K2;M0QX85;M0R1T7	0.008880391	8	26.2
Q01970;Q01970-2	0.008864067	39	36.3
J3KNW4;Q14192	0.008847743	3	7.5
P78527;P78527-2;E7EUY0;F5GX40;H0YG84	0.008815094	116	29.7
Q9NSI2;Q9NSI2-2;C9JJU7	0.008815094	5	27
A8KAH5;P53990-4;P53990;P53990-3;P53990-2;H3BUI0;H3BMU1;J3KR23;H3BQF7;F5GXM3;H3BRE2;J3QLU7;H3BPP6	0.008782446	5	12.4
J3KN16;Q5VYK3;Q5VYK5	0.008782446	51	33
Q9Y3L3;F5GZA8;Q9Y3L3-2;Q6ZT62;F8WEQ3	0.008700825	19	30.4
Q9Y6G9;E9PHI6;C9JLW1;C9JGM7	0.0086845	9	19.9
Q96I25;Q5W010;Q5W011;Q5W012;H0Y6J6	0.008651852	11	27.2
Q13895;H7BY94;F8WBL2	0.008619203	10	24.5
O94874;O94874-2;O94874-3	0.008602879	23	33.5
O15144;H7C3F9;G5E9J0;C9JTV5;G5E9S7	0.008586555	10	34.7
O00764;F2Z2Y4;O00764-3;O00764-2;A8MV33	0.008570231	8	28.2
Q96KG9;Q96KG9-2;E9PS17;Q96KG9-3;Q96KG9-4;E9PK59;Q96KG9-6;Q96KG9-5;E9PPN3;H0YCI6;H0YDH0	0.008504934	22	34.9
P10586;P10586-2;H0Y6Z7;H0Y7Z9;H0Y4H1;F2Z3B8;H0Y380;P23468;G3XAE2;G3XAD5;P23468-6;F5GWR7;P23468-4;P23468-5;F5GWT7;F5GWY7;P23468-3;E9PDC5;Q13332;Q13332-2;Q13332-4;G8JL96;Q13332-3;Q13332-6;P23468-2;Q13332-5;Q13332-7	0.008504934	43	28.7
P10909-2;P10909-5;P10909;P10909-4;E7ETA7;P10909-3;H0YLK8;H0YC35;E7ERK6;H0YAS8;E7ETB4;E5RJZ5;E5RH61;E5RGB0;E5RG36	0.008488609	14	24.8
Q96T60;M0QYH2;M0R3C8;M0QYI1;M0QX49	0.008488609	12	27.4
Q96DI7;B4DQJ1;Q9NSS8	0.008439637	5	19.9
Q5VWC4;P55036;P55036-2;A6PVX3;H0Y3Y9;H0Y561	0.008406988	4	10.5
P27708;F8VPD4;H7C2E4;H7C3Z5;H7BZB3;J3KQL0;P31327;P31327-2	0.00837434	47	24.9
P38646;D6RJI2;H0Y8S0;D6RA73;H0YBG6	0.00837434	26	40.9
P12081;D6REN6;B4DDD8;P12081-2;J3KNE5;B3KWE1;B4E1C5;E7ETE2;C9JWK3;D6RF05;D6RJE6	0.008358015	12	36.9
Q9BZX2;B4DGD3;Q9BZX2-2;Q5JT09;Q9HA47;Q9HA47-3	0.008292718	7	31.4
O15160;O15160-2;E7EQB9;D6RDJ3;H0Y723;H0Y9C4	0.00826007	8	32.1
P53365;P53365-2;E9PRV8;E9PPY7	0.008211097	5	21.4
O43617;A6NDN0;A6NKE1	0.008194773	3	18.9
O95347;O95347-2;Q5T821	0.008178449	47	39.6
Q8IYT4;Q8IYT4-2;K7EIJ8;K7EM02	0.008162124	2	3.7
B4DYH1;B4DY72;Q5TBM3	0.008080503	1	28.4
C9IZE4;Q15008;Q6UV22;E9PHI9;C9J0E9;C9J7B7;H7C531	0.008064179	13	28.5
G3V325;C9JU26;P56134;F5H4H2;P56134-2;F8W7V3;C9JJT5;C9J8H9	0.008064179	2	3.2
Q9UQE7	0.00803153	59	51.5
Q9UQN3;C9J0A7;Q9UQN3-2	0.007998882	4	17.4
P61201-2;P61201;B4DIH5;H0YKU5;H0YM03;H0YMC2	0.007982558	11	28
Q9Y606;Q9Y606-2;G8JLB3;F5H1S9;F5GXL3;F5GY32	0.007949909	8	21.5
Q8IUF8;Q8IUF8-4;Q8IUF8-2;D6RCB6;H0Y9L8;Q8IUF8-3	0.007949909	10	25.6
P36873-2;P36873;F8VYE8;F8W0W8;F8VR82;F8W0V8;B4DNE3;H0Y3Y6;F8WE71	0.007933585	2	7.1
Q07065;Q96K21;Q96K21-2;H3BRF9;Q96K21-3;H3BRM1;Q96K21-4;H3BN64;H3BUW6	0.007900937	28	50.5
Q9BPW8;H7C2U6;F8WCR5;C9JDV8	0.007868288	7	30.6
O00178;F5H716;B0QY59;F5H257	0.007851964	12	25
P33316;H0YNW5;P33316-2;H0YKC5;H0YKI0;H0YNJ9;H0YMM5;H0YMP1;H0Y477	0.00783564	9	39.3
O75396	0.007802991	8	38.6
P12931-2;P12931;J3QRU1;P07947;P06241;P06241-2;B3KPS6;Q5R3A8;P06241-3;Q04912;Q04912-2;P06239-3;Q573B4;P06239;P42685;Q9H3Y6;B4DY49;H7C074;H7C3Z8;B4DPY6	0.007802991	7	16.1
F8VZQ9;P82979;H0YHG0;Q567R9;F8VS12	0.007786667	5	22.5
Q13243;Q13243-3;B4DUA4;B4DJK0;Q13243-2;G3V5K8	0.007786667	3	11
Q3KQV9;Q3KQV9-2;Q16222;Q16222-3;Q16222-2;B1AR80	0.007770343	15	33.5
Q96IJ6-2;Q96IJ6;F8WD54;C9JAH0;C9J255	0.007754018	9	22.6
P07203;E9PAS1	0.007737694	6	31.5
P23921;E9PD78;E9PL69;F5H861;H0YCY7;E9PP77	0.007737694	22	30.3
Q70IA6-3;Q70IA6;Q70IA6-2	0.007656073	4	12.3
Q13421-2;Q13421;Q13421-3;Q13421-4;H3BMA1;H3BR90;H3BUX1;H3BV92	0.007639749	11	17.1
Q14694-2;Q14694-3;Q14694;H3BQP1;J3KT19;H3BNA1;H3BNS8;H3BQC6	0.007639749	16	22.1
O60825;B0FLL2;O60825-2;B4DY91;B4DI16;B7Z955;Q5VX20;Q16875;Q16875-2;Q5W015;Q5VX15;F2Z2I2;P16118;B4DUN5;Q4VBA9;H0Y483;Q16877;Q66S35;B7Z5C3;Q64EX5;Q5XLC2;F5H5L1	0.0076071	14	27.9
Q7L5N1;E7EM64	0.0076071	5	17.1
Q92878-2;Q92878;Q92878-3;E7EN38;E7ESD9;H7C0P8;H7C0V2;E9PM98;C9JNH8	0.007590776	61	46.1
O43447;C9JQD4;A6NNE7;H0YEL5;A6NM32	0.007558127	4	23.7
H3BND4;Q6P996;H3BNZ1;E7EPL4;J3KNK7;E7EMH5;Q86XE2;Q6P996-2;Q6P474;H3BNL6;H3BM88;H3BPV5	0.007558127	21	30.5
P45973;G3V1X9;F8VNY3	0.007558127	3	16.8
Q9UBP6;H0YIH0;H0YHU4	0.007558127	2	14.1
Q01469;I6L8B7	0.00749283	3	14.1
E9PAV3;Q13765-2;Q13765;H0YHX9;F8W0W4;F8VZJ2;F8VNW4;F8W1N5;Q9BZK3;F8VZ58	0.007476506	5	3
O43615;M0QXU7;M0R301;M0QXM9;M0R124	0.007460182	16	36.9
P61962;E9PCY4;B4E039	0.007460182	6	21.9
P49841-2;P49841	0.007443858	5	25.9
Q5R2V8;Q9Y316;Q9Y316-2;F8WCZ0	0.007427533	4	14.3
Q9BQ75;E9PHS3;C9J384;H7C515	0.007411209	4	14.3
B4DNJ6;Q9Y3F4;B0AZV0;H0YH33	0.007394885	11	37.2
P48059-3;P48059-5;P48059-2;P48059-4;P48059	0.007394885	2	4.9
J3KPX7;Q99623;F5GY37;Q99623-2;F5GWA7;F5H3X6;B4DW05;F5H0S4;F5H0C5;F5H2D2	0.007345912	11	41.1
P04350;M0R2D3;M0R278;M0QYM7;M0QZL7;M0QY85;M0R042;M0QX14;M0QY37;M0R0X0;M0R2T4;M0R1I1	0.007345912	1	9.7
Q96A33;Q96A33-2;J3QR89	0.007345912	10	19.5
Q9Y5J5	0.007345912	5	29.9
O95793;O95793-2;Q5JW30;O95793-3;Q5JW28;F6UDC6	0.007329588	12	25.1
P49736;H0Y8E6	0.007329588	23	30.6
O75153;K7EIG1;I3L2B0;I3L4B5;I3L0P4;I3L318;Q9Y5I4;Q9Y5I4-2;I3L3E5	0.007313264	26	19.5
O43929;O43929-3;O43929-2;B7Z632;CON__Q2YDI2;Q53SE3;C9J2X8;C9JGH7	0.007313264	14	39.2
P42167;G5E972;P42167-2;H0YJH7	0.007313264	5	11.9
O43488;H3BLU7;Q8NHP1;O95154;H7C5H7	0.007296939	4	12.8
Q9NRN7;E9PLW6;E9PNF3;B4DDW7	0.007264291	8	29.8
Q9NVE7;E9PHT6;H0YA26;H0YA31;H0Y9E4	0.007198994	17	23.2
O75935;O75935-2;Q8NB28;F8W786;O75935-3	0.00718267	3	15.1
E7EUC7;Q16851;Q16851-2;C9JNZ1;C9JQU9;C9JVG3;C9JWG0;C9JUW1;C9JTZ5;F2Z3H1	0.007166345	11	20.7
Q6DKJ4;Q6DKJ4-3;I3L4V6;Q6DKJ4-2;B4DNN6	0.007166345	8	23
P09132;P09132-2;D6RBG4	0.007150021	4	37.5
Q9NUP9;G3V1D4	0.007133697	5	39.6
P47914	0.007101048	1	9.4
Q9UBB4;Q9UBB4-2;B1AHE4;B1AHE3	0.007052076	13	27.8
F8WAD0;Q6UY14;Q6UY14-2	0.007035751	16	15.2
P52701;B4DF41;F5H2F9;P52701-2;F8WAX8;C9J7Y7;C9J8Y8;C9JH55	0.007035751	30	23.2
P51858;Q5SZ07;P51858-2;A8K8G0	0.007003103	5	30
P52434;C9JLU1;C9JCU7;C9J413;C9JBJ6;C9JUA8	0.00695413	3	27.3
Q8NEZ5;Q8NEZ5-3;H3BTH6;H3BUC1;H3BVA4;H3BRE0;Q8NEZ5-2;H3BTR7	0.006921482	8	24.1
Q96F86;H3BPN4;H3BN89;H3BSQ0	0.006921482	7	18.9
O14818;O14818-2;H0Y586;Q8TAA3;Q8TAA3-5;Q8TAA3-2;Q5JXJ2;F5GY34	0.006905157	10	46.8
Q14697;Q14697-2;F5H6X6;E9PKU7;H0YFL4;E9PNH1	0.006905157	31	38
Q14344;F5H1G8;P19086;B7Z3F7	0.006888833	7	21
B3KTC7;P49959;F8W7U8;P49959-2;F5GXT0;F5H256;F5H742	0.006856185	15	23.8
Q9BRA2;I3L2R6;I3L3M7;I3L0K2	0.006856185	3	26.8
P13667	0.00683986	27	38
Q9UHR6;E9PQB8	0.00683986	6	17.1
P34932	0.006774563	23	29.2
P42224;J3KPM9;P42224-2;D2KFR9;E7EPD2;E7ENM1;E9PH66;H7BZB5	0.006758239	20	31.6
Q15274	0.006741915	5	18.2
Q53GA4	0.006741915	2	11.8
Q13492;Q13492-5;Q13492-2;Q13492-3;Q13492-4;E9PLJ8;E9PI56;E9PKP6;F5GWN7;O60641;E9PDG8;E5RI02;O60641-3;E5RGY9;H0YEH1;H0YEF7;E5RIJ5;E5RK51;E5RFC6;E5RHK9;E5RFU0;E9PK13;H0YCY1;E9PJT1	0.006725591	10	21.5
Q10567;Q10567-2;Q10567-3;Q10567-4;C9J1E7;H7C034	0.006676618	15	20.4
O76021;J3QSV6;I3L3C4;I3L3U9;I3L234;I3L1A3	0.006660294	8	12.7
P09972;A8MVZ9;J3QKP5;J3KSV6;C9J8F3;K7EKH5;J3QKK1	0.006660294	4	14
Q96EK9	0.006643969	7	21.8
P0CG13;H0YAV5;H3BPP1;J3KSJ7;H3BQB7;E5RHL4;E5RGY5	0.006627645	3	24.8
Q9BR76;E7EW44;F5H390;F5H0D2;A9Z1Z3;A9Z1Z3-3	0.006611321	10	18.2
P08758;E7ENQ5;D6RBL5;D6RBE9;E9PHT9;D6RCN3	0.006594997	9	28.8
Q8N392;Q8N392-2	0.006578672	10	15.2
J3KQJ6;H0Y4G9;J3KPU4;Q99836;J3KQ87;Q99836-2;Q99836-3;Q99836-4	0.006562348	7	25.9
Q5T1Z8;Q5T1Z4;Q14671-3;Q14671;Q14671-2;B4DG92;H0YEH2;E7EWT3;E9PR38;H0YDK8;H0YC97;H0YDC5	0.006546024	4	6.3
O00233;J3KN29;O00233-2;F8W7V8;F5GX23;F5H5V4;F5H7X1;F5H169;F5H182;O00233-3	0.006546024	4	18.4
Q8N7V9;P54619;B4DDT7;F8VYY9;F8W9D1;H0YIC9;H0YHF8;F8VZX1;Q9UGJ0;Q9UGJ0-3;E9PGP6;G8JLM0;Q9UGJ0-2;F8VVA3;F8VPF5;F8VSL2;F8VU55;F8VRY2;F8VSH3	0.006513375	10	33.5
B4E0Y9;Q9P289;Q8NBY1;Q9P289-3;Q9P289-2;A8K6Z3;B7Z9K1;H7C279;C9J232;C9JCC0;C9J6L2;C9JDH9;C9JJV0	0.006513375	3	13
P06576;H0YH81;F8VPV9;F8W079;F8W0P7;H0YI37;F8VQY0	0.006513375	14	31.2
P02786;G3V0E5;F5H6B1;H7C3V5	0.006464403	18	28.4
Q9Y3D6	0.006448078	4	32.2
K7ELG9;Q3MHD2-2;Q3MHD2	0.006431754	3	15.7
O14530;Q8TB70;B8ZZX4;F8WCJ3	0.006431754	3	10.2
O95292;O95292-2;E5RK64	0.00641543	6	27.2
Q15428;K7EKV8;K7EMT0;K7EP23	0.006399106	6	11
Q9NX08	0.006399106	2	10.9
Q93009;B7Z815;F5H8E5;H3BND8;F5H2X1;H3BQD1;H3BRA2;H3BTM1;H3BUV0;H3BMF6	0.006382781	31	33.2
Q8N4C8;Q8N4C8-4;Q8N4C8-3;Q8N4C8-2;Q8N4C8-5;Q9UKE5;Q9UKE5-4;Q9UKE5-2;Q9UKE5-6;G5E948;O95819-3;Q9UKE5-3;Q9UKE5-7;E7ESS2;Q9UKE5-5;E7EN19;Q9UKE5-8;O95819-5;O95819;O95819-2;H7C360;G3XAA2;O95819-4;E7ENQ1;F5H865;F5H5M9;I3L2I2;C9J338;C9J840;E7EX83;H7C0P6;E7ETN6	0.006382781	6	4.8
Q9NTZ6	0.006350133	8	9.1
P22695;H3BRG4;H3BSJ9;H3BP04;H3BUI9;H3BUE4	0.00630116	11	32.9
Q9UDY4;C9JUL4	0.00630116	7	24.9
O00762;O00762-3;O00762-2;O00762-4;K4DI81	0.006284836	6	43
Q09161	0.006268512	20	26.7
Q7LGA3;A6ND99;Q7LGA3-2;Q7LGA3-3;K7EP71	0.006268512	5	13.8
Q9UGI8;Q9UGI8-2;F8W7T0;H7BYK1;B7Z6L5	0.006268512	6	13.8
Q5T2T1;B4DWL9	0.006252187	16	32.5
Q5RKV6	0.006235863	6	31.2
O00154;O00154-5;O00154-4;O00154-6;O00154-3;K7EKP8;B4DUX0;O00154-2;F5GWE2	0.006219539	6	20.5
Q99986;H0YJ50;H0YJJ9	0.006219539	7	18.9
Q00613;Q00613-2;E9PMQ6;E9PI02;Q03933;Q03933-2;Q9ULV5;Q9ULV5-2;E5RK26;E5RJV4;E7EWW4;E5RG51;H0YBT7	0.006203215	11	16.3
Q9Y3B7;Q9Y3B7-2;Q9Y3B7-3	0.006203215	4	20.3
Q13724;F5H6D0;C9J8D4;C9JDQ1;B8ZZE2;B4E3B8	0.00618689	28	43.6
Q5VYY1	0.00618689	5	23.6
Q9Y4L1;E9PL22;E9PJ21;B7Z909;J3KTF1;J3QL06;J3QLE9;J3QQH7;J3KT27;J3KSJ2	0.006154242	21	25.1
Q9Y617;Q9Y617-2	0.006154242	7	19.5
O43681;K7ERW9	0.006137918	5	16.1
P49643;P49643-2	0.006137918	13	26.3
O00151	0.006121593	5	18.2
O76094;O76094-2;D6RDY6	0.006121593	16	28.5
P52597	0.006121593	9	25.5
Q14376;Q5QPP4;Q5QPP3;Q5QPP2;Q5QPP1;Q5QPP9	0.006121593	6	25.6
B5MC82;A6NHG4;J3KQ18;P30046;B7Z522	0.006105269	3	19.9
P01137	0.006105269	5	13.8
P39687;H0YN26;O95626;H7BZ09;O43423	0.006088945	5	16.9
Q9Y6V7;Q9BVQ8;M0R0K1;M0QZC0;M0R1S3	0.006088945	10	22.6
Q86TN4-4;Q86TN4;Q86TN4-3;Q86TN4-2;F5H8A0;F5H6B6;H0YGY9;F5H1K3	0.006056296	4	16.9
Q96HY6;Q96HY6-2	0.006039972	3	15
Q9Y3C6	0.005974675	3	24.7
O00139-4;O00139;E9PB70;O00139-1;O00139-2;D6R9M0;H0Y8H2	0.005942027	13	16.8
Q06481;H7BXI4;Q06481-3;F5GZY0;Q06481-2;Q06481-4;F5H845;Q06481-5	0.005942027	12	17.8
Q9BT78;D6RFN0;D6RAX7;Q9BT78-2;D6RD63	0.005942027	12	38.2
P08195-4;J3KPF3;P08195;F5GZS6;P08195-3;P08195-2;H0YFS2;F5GZI0;F5H0E2;F5H867;H0YFX4	0.005925702	13	25.1
B7Z3P1;Q15813	0.005893054	11	24
Q9BQC6	0.005893054	2	20.6
Q13045;J3QLG3;Q13045-2;J3KS54;J3QQQ2;K7EQZ7;J3QLR6;J3QQU5;K7EP27;K7EP37;J3KS39;J3KT47	0.00587673	22	20.2
Q07960;H0YE29;E9PNR6	0.005795108	11	26
O00560;O00560-3;E9PBU7;B4DHN5	0.005778784	1	48.3
Q9NZ01;B3KSQ1;Q9NZ01-2;M0QXM3;M0R3C3;B4DR74;M0R329	0.005778784	9	22.1
Q15185;B4DP11;B4DP21;B4DHP2;B4DDC6	0.00576246	6	31.2
P30626;P30626-2;B4DKK2;C9J0K6	0.005746136	3	16.2
Q96SB4-3;H3BLV9;Q96SB4;B4DS61;Q5R363;E7ETV6;Q9UPE1;Q9UPE1-4;A8MPY5;Q9UPE1-3;A8MPP7;Q9UPE1-2;D6RBM8;H7C2I2	0.005746136	6	10.7
P23381;P23381-2;G3V3Y5;G3V3H8;H0YJP3;G3V277;G3V2Y7;G3V456;G3V5U1;G3V227;G3V3P2;G3V423;G3V3X0;G3V3S7;G3V5W1;G3V4N0;G3V4N8;G3V4C7;G3V2C0;G3V339;G3V313;G3V4S4;G3V3R3;G3V2F2;G3V4Q0;G3V4A3;P78534;G3V5H5	0.005746136	10	29.9
Q05639	0.005729811	6	13.8
Q8TAT6-2;Q8TAT6;B4DG89;I3L4U9;I3L3I1;I3L281;I3L283	0.005713487	13	20.4
Q9UHB6;Q9UHB6-4;Q9UHB6-2;F8VQE1;F8VRN8;Q9UHB6-3;F8VS07;F8VTU2;F8VVQ7;F8VZI6;Q9BT23;J3QQM5	0.005697163	35	49.4
P11233;H7C3P7	0.005680839	2	14.1
Q15024	0.005680839	5	18.9
Q9UNN8	0.005680839	3	15.1
Q5LJA9;Q5LJA5;Q9Y5K5;Q9Y5K5-3;Q9Y5K5-4;Q9Y5K5-2;Q5LJB0;H0Y6Y4;B7Z9U9;B4DW59;H0Y4E0;H0Y636;H0Y4K0	0.005680839	6	16.3
O60232;H0YEB6;G3V1B8;H0YEK1;E9PK41	0.00564819	3	15.1
P39060;P39060-1;P39060-2;H7BXV5;H7C457	0.00564819	19	14.4
O00629;H7C4F6	0.005582893	4	10.4
Q92522	0.005566569	2	10.3
Q96HC4;D6RB78;Q96HC4-4;F5H7Y0;E9PBF5;D3YTJ1;Q96HC4-2;H0Y8Y3;F5H0X8;Q96HC4-3;H0YBI4;H0Y929	0.005566569	6	10.1
